Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 7144,https://www.congress.gov/bill/118th-congress/house-bill/7144,Change of Ownership and Conversion Improvement Act,"Owens, Burgess [Rep.-R-UT-4]",1/30/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,0
H.R. 7143,https://www.congress.gov/bill/118th-congress/house-bill/7143,Stop Basel Endgame Act,"Ogles, Andrew [Rep.-R-TN-5]",1/30/2024,House - Financial Services,Referred to the House Committee on Financial Services.,2
H.R. 7142,https://www.congress.gov/bill/118th-congress/house-bill/7142,Alternatives to PAIN Act,"Miller-Meeks, Mariannette [Rep.-R-IA-1]",1/30/2024,"House - Energy and Commerce, Ways and Means",Referred to the Subcommittee on Health.,12
H.R. 7141,https://www.congress.gov/bill/118th-congress/house-bill/7141,Supporting Premature Infant Nutrition Act of 2024,"McGarvey, Morgan [Rep.-D-KY-3]",1/30/2024,House - Energy and Commerce,Sponsor introductory remarks on measure. (CR H411),4
H.R. 7140,https://www.congress.gov/bill/118th-congress/house-bill/7140,Mental Health Transparency Act,"Horsford, Steven [Rep.-D-NV-4]",1/30/2024,"House - Energy and Commerce, Ways and Means, Education and the Workforce",Referred to the Subcommittee on Health.,0
H.R. 7139,https://www.congress.gov/bill/118th-congress/house-bill/7139,Teacher Debt Relief Act,"Hayes, Jahana [Rep.-D-CT-5]",1/30/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,0
H.R. 7138,https://www.congress.gov/bill/118th-congress/house-bill/7138,Supplemental Security Income Restoration Act of 2024,"Grijalva, Raúl M. [Rep.-D-AZ-7]",1/30/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,42
H.R. 7137,https://www.congress.gov/bill/118th-congress/house-bill/7137,Trafficking Survivors Relief Act of 2024,"Fry, Russell [Rep.-R-SC-7]",1/30/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,23
H.R. 7136,https://www.congress.gov/bill/118th-congress/house-bill/7136,SCHEDULES Act of 2024,"Franklin, C. Scott [Rep.-R-FL-18]",1/30/2024,House - Veterans' Affairs,Referred to the Subcommittee on Health.,5
H.R. 7135,https://www.congress.gov/bill/118th-congress/house-bill/7135,GHOST Act,"Foxx, Virginia [Rep.-R-NC-5]",1/30/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,0
H.R. 7134,https://www.congress.gov/bill/118th-congress/house-bill/7134,Invest in Child Safety Act of 2024,"Eshoo, Anna G. [Rep.-D-CA-16]",1/30/2024,"House - Judiciary, Education and the Workforce, Ways and Means","Referred to the Committee on the Judiciary, and in addition to the Committees on Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5
H.R. 7133,https://www.congress.gov/bill/118th-congress/house-bill/7133,Naomi Schwartz and Susan Rose Safe Parking Act of 2024,"Carbajal, Salud O. [Rep.-D-CA-24]",1/30/2024,House - Financial Services,Referred to the House Committee on Financial Services.,12
H.R. 7132,https://www.congress.gov/bill/118th-congress/house-bill/7132,Housing Supply and Affordability Act,"Blunt Rochester, Lisa [Rep.-D-DE-At Large]",1/30/2024,"House - Financial Services, Budget","Referred to the Committee on Financial Services, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 7131,https://www.congress.gov/bill/118th-congress/house-bill/7131,AFIDA Improvements Act of 2024,"Bacon, Don [Rep.-R-NE-2]",1/30/2024,House - Agriculture,Referred to the House Committee on Agriculture.,24
H.R. 7130,https://www.congress.gov/bill/118th-congress/house-bill/7130,FAIR Labels Act of 2024,"Alford, Mark [Rep.-R-MO-4]",1/30/2024,House - Agriculture,Referred to the House Committee on Agriculture.,24
H.R. 7129,https://www.congress.gov/bill/118th-congress/house-bill/7129,Put America on Commission Act of 2024,"Williams, Roger [Rep.-R-TX-25]",1/30/2024,House - Small Business,"Placed on the Union Calendar, Calendar No. 328.",16
H.R. 7128,https://www.congress.gov/bill/118th-congress/house-bill/7128,The WOSB Integrity Act of 2024,"Maloy, Celeste [Rep.-R-UT-2]",1/30/2024,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,1
H.R. 7127,https://www.congress.gov/bill/118th-congress/house-bill/7127,FAIR Act,"Connolly, Gerald E. [Rep.-D-VA-11]",1/30/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,84
H.R. 7126,https://www.congress.gov/bill/118th-congress/house-bill/7126,AV Accessibility Act,"Stanton, Greg [Rep.-D-AZ-4]",1/30/2024,House - Transportation and Infrastructure,Referred to the Subcommittee on Highways and Transit.,4
H.R. 7125,https://www.congress.gov/bill/118th-congress/house-bill/7125,No Funds for Forced Labor Act,"Wexton, Jennifer [Rep.-D-VA-10]",1/29/2024,House - Financial Services,Referred to the House Committee on Financial Services.,10
H.R. 7124,https://www.congress.gov/bill/118th-congress/house-bill/7124,Roboblock Act,"Soto, Darren [Rep.-D-FL-9]",1/29/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,0
H.R. 7123,https://www.congress.gov/bill/118th-congress/house-bill/7123,QUIET Act,"Sorensen, Eric [Rep.-D-IL-17]",1/29/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,7
H.R. 7122,https://www.congress.gov/bill/118th-congress/house-bill/7122,Stop Support for UNRWA Act of 2024,"Smith, Christopher H. [Rep.-R-NJ-4]",1/29/2024,House - Foreign Affairs,"Placed on the Union Calendar, Calendar No. 334.",8
H.R. 7121,https://www.congress.gov/bill/118th-congress/house-bill/7121,Financial Regulators Revolving Door Enforcement Act,"Schiff, Adam B. [Rep.-D-CA-30]",1/29/2024,House - Financial Services,Referred to the House Committee on Financial Services.,1
H.R. 7120,https://www.congress.gov/bill/118th-congress/house-bill/7120,R U REAL Act,"Schakowsky, Janice D. [Rep.-D-IL-9]",1/29/2024,House - Energy and Commerce,"Referred to the Subcommittee on Innovation, Data, and Commerce.",0
H.R. 7119,https://www.congress.gov/bill/118th-congress/house-bill/7119,Fairness in Nursing Home Arbitration Act,"Sánchez, Linda T. [Rep.-D-CA-38]",1/29/2024,"House - Ways and Means, Energy and Commerce",Referred to the Subcommittee on Health.,13
H.R. 7118,https://www.congress.gov/bill/118th-congress/house-bill/7118,Halt the Invasion Act,"Rosendale Sr., Matthew M. [Rep.-R-MT-2]",1/29/2024,"House - Judiciary, Homeland Security",Referred to the Subcommittee on Border Security and Enforcement.,4
H.R. 7117,https://www.congress.gov/bill/118th-congress/house-bill/7117,Driver Data Control Act of 2024,"Rosendale Sr., Matthew M. [Rep.-R-MT-2]",1/29/2024,"House - Energy and Commerce, Financial Services, Judiciary","Referred to the Subcommittee on Innovation, Data, and Commerce.",6
H.R. 7116,https://www.congress.gov/bill/118th-congress/house-bill/7116,Do Not Disturb Act,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",1/29/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,7
H.R. 7115,https://www.congress.gov/bill/118th-congress/house-bill/7115,District of Columbia Superior Court Jury Duty for Seniors Opt Out Act of 2024,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",1/29/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,0
H.R. 7114,https://www.congress.gov/bill/118th-congress/house-bill/7114,Universal Prekindergarten and Early Childhood Education Act of 2024,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",1/29/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,1
H.R. 7113,https://www.congress.gov/bill/118th-congress/house-bill/7113,"Making emergency supplemental appropriations in line with the President's request in response to the ongoing attack on Ukraine's sovereignty by Russia and in response to the attacks in Israel for the fiscal year ending September 30, 2024, and for other purposes.","Moskowitz, Jared [Rep.-D-FL-23]",1/29/2024,"House - Appropriations, Budget","Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
H.R. 7112,https://www.congress.gov/bill/118th-congress/house-bill/7112,Stop Scams and Spam Act,"Matsui, Doris O. [Rep.-D-CA-7]",1/29/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,0
H.R. 7111,https://www.congress.gov/bill/118th-congress/house-bill/7111,UNRWA Elimination Act,"Mast, Brian J. [Rep.-R-FL-21]",1/29/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,0
H.R. 7110,https://www.congress.gov/bill/118th-congress/house-bill/7110,LIHTC Landlord Accountability Act of 2024,"Espaillat, Adriano [Rep.-D-NY-13]",1/29/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 7109,https://www.congress.gov/bill/118th-congress/house-bill/7109,Equal Representation Act,"Edwards, Chuck [Rep.-R-NC-11]",1/29/2024,House - Oversight and Accountability,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 386.,114
H.R. 7108,https://www.congress.gov/bill/118th-congress/house-bill/7108,Expanding Access to Mental Health Services in Schools Act of 2024,"DeLauro, Rosa L. [Rep.-D-CT-3]",1/29/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,32
H.R. 7107,https://www.congress.gov/bill/118th-congress/house-bill/7107,Human Trafficking Awareness Training Act,"Cammack, Kat [Rep.-R-FL-3]",1/29/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,10
H.R. 7106,https://www.congress.gov/bill/118th-congress/house-bill/7106,National Oceans and Coastal Security Improvements Act of 2024,"Beyer, Donald S., Jr. [Rep.-D-VA-8]",1/29/2024,"House - Natural Resources, Science, Space, and Technology","Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 7105,https://www.congress.gov/bill/118th-congress/house-bill/7105,WOSB Certification and Opportunity Expansion Act,"Velazquez, Nydia M. [Rep.-D-NY-7]",1/29/2024,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,1
H.R. 7104,https://www.congress.gov/bill/118th-congress/house-bill/7104,National SBDC Advisory Board Improvement Act,"Mann, Tracey [Rep.-R-KS-1]",1/29/2024,House - Small Business,"Placed on the Union Calendar, Calendar No. 327.",1
H.R. 7103,https://www.congress.gov/bill/118th-congress/house-bill/7103,Agency Accountability Act of 2024,"Stauber, Pete [Rep.-R-MN-8]",1/29/2024,House - Small Business | Senate - Small Business and Entrepreneurship,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.,2
H.R. 7102,https://www.congress.gov/bill/118th-congress/house-bill/7102,Native American Entrepreneurial Opportunity Act,"Davids, Sharice [Rep.-D-KS-3]",1/29/2024,House - Small Business,Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 337.,2
H.R. 7101,https://www.congress.gov/bill/118th-congress/house-bill/7101,FTC REDO Act,"Armstrong, Kelly [Rep.-R-ND-At Large]",1/29/2024,House - Energy and Commerce,"Referred to the Subcommittee on Innovation, Data, and Commerce.",12
H.R. 7100,https://www.congress.gov/bill/118th-congress/house-bill/7100,Prioritizing Veterans’ Survivors Act,"Ciscomani, Juan [Rep.-R-AZ-6]",1/29/2024,House - Veterans' Affairs,Ordered to be Reported by Voice Vote.,1
H.R. 7099,https://www.congress.gov/bill/118th-congress/house-bill/7099,Ensuring Access to Affordable and Quality Home Care for Seniors and People with Disabilities Act,"Walberg, Tim [Rep.-R-MI-5]",1/25/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,4
H.R. 7098,https://www.congress.gov/bill/118th-congress/house-bill/7098,Servicemember Apprenticeship Act,"Sherrill, Mikie [Rep.-D-NJ-11]",1/25/2024,House - Armed Services,Referred to the House Committee on Armed Services.,11
H.R. 7097,https://www.congress.gov/bill/118th-congress/house-bill/7097,College Opportunities for Servicemembers Act,"Sherrill, Mikie [Rep.-D-NJ-11]",1/25/2024,House - Armed Services,Referred to the House Committee on Armed Services.,10
H.R. 7096,https://www.congress.gov/bill/118th-congress/house-bill/7096,CAP Act,"Schakowsky, Janice D. [Rep.-D-IL-9]",1/25/2024,House - Energy and Commerce,"Referred to the Subcommittee on Innovation, Data, and Commerce.",2
H.R. 7095,https://www.congress.gov/bill/118th-congress/house-bill/7095,Redistricting Transparency and Accountability Act of 2024,"Ross, Deborah K. [Rep.-D-NC-2]",1/25/2024,House - Judiciary,Sponsor introductory remarks on measure. (CR H299),6
H.R. 7094,https://www.congress.gov/bill/118th-congress/house-bill/7094,Marijuana in Federally Assisted Housing Parity Act of 2024,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",1/25/2024,House - Financial Services,Referred to the House Committee on Financial Services.,3
H.R. 7093,https://www.congress.gov/bill/118th-congress/house-bill/7093,Public Health Emergency Accountability Act,"Moore, Barry [Rep.-R-AL-2]",1/25/2024,"House - Energy and Commerce, Rules",Referred to the Subcommittee on Health.,1
H.R. 7092,https://www.congress.gov/bill/118th-congress/house-bill/7092,Protecting Private Job Creators Act,"Mooney, Alexander X. [Rep.-R-WV-2]",1/25/2024,House - Financial Services,Referred to the House Committee on Financial Services.,8
H.R. 7091,https://www.congress.gov/bill/118th-congress/house-bill/7091,Counting Veterans’ Cancer Act of 2024,"Kiggans, Jennifer A [Rep.-R-VA-2]",1/25/2024,"House - Veterans' Affairs, Energy and Commerce",Referred to the Subcommittee on Health.,1
H.R. 7090,https://www.congress.gov/bill/118th-congress/house-bill/7090,To amend the Internal Revenue Code of 1986 to exclude from gross income certain compensation to clinical trial participants.,"Kelly, Mike [Rep.-R-PA-16]",1/25/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,2
H.R. 7089,https://www.congress.gov/bill/118th-congress/house-bill/7089,Global Anti-Human Trafficking Enhancement Act,"James, John [Rep.-R-MI-10]",1/25/2024,House - Foreign Affairs,Ordered to be Reported in the Nature of a Substitute (Amended) by the Yeas and Nays: 46 - 0.,5
H.R. 7088,https://www.congress.gov/bill/118th-congress/house-bill/7088,Air Guard STATUS Act of 2024,"Jackson, Jeff [Rep.-D-NC-14]",1/25/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
H.R. 7087,https://www.congress.gov/bill/118th-congress/house-bill/7087,Maintaining our Obligation to Moms who Serve Act,"Houlahan, Chrissy [Rep.-D-PA-6]",1/25/2024,House - Armed Services,Referred to the House Committee on Armed Services.,3
H.R. 7086,https://www.congress.gov/bill/118th-congress/house-bill/7086,Highway Administration Humor Allowance Act,"Griffith, H. Morgan [Rep.-R-VA-9]",1/25/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,1
H.R. 7085,https://www.congress.gov/bill/118th-congress/house-bill/7085,BIOSECURE Act,"Gallagher, Mike [Rep.-R-WI-8]",1/25/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,10
H.R. 7084,https://www.congress.gov/bill/118th-congress/house-bill/7084,"You Earned It, You Keep It Act","Craig, Angie [Rep.-D-MN-2]",1/25/2024,"House - Ways and Means, Energy and Commerce",Referred to the Subcommittee on Health.,10
H.R. 7083,https://www.congress.gov/bill/118th-congress/house-bill/7083,RAZOR Act,"Collins, Mike [Rep.-R-GA-10]",1/25/2024,House - Homeland Security,Referred to the House Committee on Homeland Security.,40
H.R. 7082,https://www.congress.gov/bill/118th-congress/house-bill/7082,Complete Streets Act of 2024,"Cohen, Steve [Rep.-D-TN-9]",1/25/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,25
H.R. 7081,https://www.congress.gov/bill/118th-congress/house-bill/7081,Protecting Access to American Products Act,"Cline, Ben [Rep.-R-VA-6]",1/25/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,0
H.R. 7080,https://www.congress.gov/bill/118th-congress/house-bill/7080,Earn Your Keep Act,"Carl, Jerry L. [Rep.-R-AL-1]",1/25/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,0
H.R. 7079,https://www.congress.gov/bill/118th-congress/house-bill/7079,Banning EPA’s Encroachment on Facilities Act,"Burlison, Eric [Rep.-R-MO-7]",1/25/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,7
H.R. 7078,https://www.congress.gov/bill/118th-congress/house-bill/7078,False Claims Enhancement Act,"Buck, Ken [Rep.-R-CO-4]",1/25/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 7077,https://www.congress.gov/bill/118th-congress/house-bill/7077,"To expand the categories of forfeited property available to remediate harms to Ukraine from Russian aggression, and for other purposes.","Boyle, Brendan F. [Rep.-D-PA-2]",1/25/2024,"House - Judiciary, Foreign Affairs","Referred to the Committee on the Judiciary, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 7076,https://www.congress.gov/bill/118th-congress/house-bill/7076,Innovative Practices for Soil Health Act of 2024,"Beyer, Donald S., Jr. [Rep.-D-VA-8]",1/25/2024,House - Agriculture,Referred to the House Committee on Agriculture.,2
H.R. 7075,https://www.congress.gov/bill/118th-congress/house-bill/7075,HOME Investment Partnerships Reauthorization and Improvement Act of 2024,"Beatty, Joyce [Rep.-D-OH-3]",1/25/2024,House - Financial Services,Referred to the House Committee on Financial Services.,31
H.R. 7074,https://www.congress.gov/bill/118th-congress/house-bill/7074,State of Texas Operational Protections Act,"Williams, Roger [Rep.-R-TX-25]",1/22/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,1
H.R. 7073,https://www.congress.gov/bill/118th-congress/house-bill/7073,Next Generation Pipelines Research and Development Act,"Weber, Randy K., Sr. [Rep.-R-TX-14]",1/22/2024,"House - Science, Space, and Technology",Ordered to be Reported (Amended) by the Yeas and Nays: 36 - 0.,4
H.R. 7072,https://www.congress.gov/bill/118th-congress/house-bill/7072,Wabeno Economic Development Act of 2024,"Tiffany, Thomas P. [Rep.-R-WI-7]",1/22/2024,"House - Agriculture, Natural Resources",Ordered to be Reported in the Nature of a Substitute by Unanimous Consent.,0
H.R. 7071,https://www.congress.gov/bill/118th-congress/house-bill/7071,"To amend section 7(b) of the Small Business Act to make disaster loans available for damages caused by prolonged power outages, and for other purposes.","Stevens, Haley M. [Rep.-D-MI-11]",1/22/2024,House - Small Business,Referred to the House Committee on Small Business.,1
H.R. 7070,https://www.congress.gov/bill/118th-congress/house-bill/7070,Wildfire Response Improvement Act,"Stanton, Greg [Rep.-D-AZ-4]",1/22/2024,House - Transportation and Infrastructure,Ordered to be Reported (Amended).,2
H.R. 7069,https://www.congress.gov/bill/118th-congress/house-bill/7069,Peer Support for Firefighters Act,"Salinas, Andrea [Rep.-D-OR-6]",1/22/2024,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",1
H.R. 7068,https://www.congress.gov/bill/118th-congress/house-bill/7068,STAND Against Emerging Opioids Act,"Panetta, Jimmy [Rep.-D-CA-19]",1/22/2024,"House - Energy and Commerce, Judiciary",Referred to the Subcommittee on Health.,2
H.R. 7067,https://www.congress.gov/bill/118th-congress/house-bill/7067,Flood Prevention Act of 2024,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",1/22/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,0
H.R. 7066,https://www.congress.gov/bill/118th-congress/house-bill/7066,DAMN Act,"Newhouse, Dan [Rep.-R-WA-4]",1/22/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,4
H.R. 7065,https://www.congress.gov/bill/118th-congress/house-bill/7065,Priority for Water Supply and Conservation Act of 2024,"Napolitano, Grace F. [Rep.-D-CA-31]",1/22/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,2
H.R. 7064,https://www.congress.gov/bill/118th-congress/house-bill/7064,Farmers’ Market Expansion Act of 2024,"Moore, Barry [Rep.-R-AL-2]",1/22/2024,House - Agriculture,Referred to the House Committee on Agriculture.,1
H.R. 7063,https://www.congress.gov/bill/118th-congress/house-bill/7063,To prohibit Federal funds from being made available to any pregnancy center that diverts people from accessing comprehensive and timely medical care from licensed medical professionals.,"Landsman, Greg [Rep.-D-OH-1]",1/22/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,0
H.R. 7062,https://www.congress.gov/bill/118th-congress/house-bill/7062,Farm and Food Cybersecurity Act of 2024,"Finstad, Brad [Rep.-R-MN-1]",1/22/2024,House - Agriculture,Referred to the House Committee on Agriculture.,13
H.R. 7061,https://www.congress.gov/bill/118th-congress/house-bill/7061,HEAL Maui Act,"Case, Ed [Rep.-D-HI-1]",1/22/2024,"House - Small Business, Ways and Means, Financial Services",Sponsor introductory remarks on measure. (CR E100),0
H.R. 7060,https://www.congress.gov/bill/118th-congress/house-bill/7060,Military Spouse Job Continuity Act,"Cartwright, Matt [Rep.-D-PA-8]",1/22/2024,House - Armed Services,Referred to the House Committee on Armed Services.,13
H.R. 7059,https://www.congress.gov/bill/118th-congress/house-bill/7059,ACCESS Act of 2024,"Caraveo, Yadira [Rep.-D-CO-8]",1/22/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,89
H.R. 7058,https://www.congress.gov/bill/118th-congress/house-bill/7058,Border Security Reserve Fund Act,"Williams, Roger [Rep.-R-TX-25]",1/18/2024,House - Homeland Security,Referred to the Subcommittee on Border Security and Enforcement.,0
H.R. 7057,https://www.congress.gov/bill/118th-congress/house-bill/7057,Evaluating Financial Impacts of Illegal Immigration Act,"Williams, Roger [Rep.-R-TX-25]",1/18/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 7056,https://www.congress.gov/bill/118th-congress/house-bill/7056,Access to Family Building Act,"Wild, Susan [Rep.-D-PA-7]",1/18/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,172
H.R. 7055,https://www.congress.gov/bill/118th-congress/house-bill/7055,EMPSA Act,"Valadao, David G. [Rep.-R-CA-22]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,10
H.R. 7054,https://www.congress.gov/bill/118th-congress/house-bill/7054,Carbon Dioxide Removal Leadership Act of 2024,"Tonko, Paul [Rep.-D-NY-20]",1/18/2024,House - Energy and Commerce,"Referred to the Subcommittee on Environment, Manufacturing, and Critical Materials.",1
H.R. 7053,https://www.congress.gov/bill/118th-congress/house-bill/7053,Orphan Well Grant Flexibility Act of 2024,"Thompson, Glenn [Rep.-R-PA-15]",1/18/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,4
H.R. 7052,https://www.congress.gov/bill/118th-congress/house-bill/7052,Unborn Child Support Act,"Tenney, Claudia [Rep.-R-NY-24]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,6
H.R. 7051,https://www.congress.gov/bill/118th-congress/house-bill/7051,Parity for Child Exploitation Offenders Act,"Tenney, Claudia [Rep.-R-NY-24]",1/18/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,2
H.R. 7050,https://www.congress.gov/bill/118th-congress/house-bill/7050,Substance Use Disorder Workforce Act,"Schneider, Bradley Scott [Rep.-D-IL-10]",1/18/2024,"House - Ways and Means, Energy and Commerce",Referred to the Subcommittee on Health.,29
H.R. 7049,https://www.congress.gov/bill/118th-congress/house-bill/7049,"To repeal the Department of Veterans Affairs directive relating to the COVID-19 vaccination program for Veterans Health Administration health care personnel, and for other purposes.","Roy, Chip [Rep.-R-TX-21]",1/18/2024,House - Veterans' Affairs,Referred to the Subcommittee on Disability Assistance and Memorial Affairs.,21
H.R. 7048,https://www.congress.gov/bill/118th-congress/house-bill/7048,No Funding for Sanctuary Cities Act,"Pfluger, August [Rep.-R-TX-11]",1/18/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 7047,https://www.congress.gov/bill/118th-congress/house-bill/7047,Defund Davos Act,"Perry, Scott [Rep.-R-PA-10]",1/18/2024,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,10
H.R. 7046,https://www.congress.gov/bill/118th-congress/house-bill/7046,Supporting Farm Operations Act of 2024,"Moolenaar, John R. [Rep.-R-MI-2]",1/18/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,21
H.R. 7045,https://www.congress.gov/bill/118th-congress/house-bill/7045,Pregnancy Center Support Act of 2024,"Miller, Carol D. [Rep.-R-WV-1]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,10
H.R. 7044,https://www.congress.gov/bill/118th-congress/house-bill/7044,Woman’s Right To Know Act,"McClain, Lisa C. [Rep.-R-MI-9]",1/18/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,16
H.R. 7043,https://www.congress.gov/bill/118th-congress/house-bill/7043,Emergency Reporting Act,"Matsui, Doris O. [Rep.-D-CA-7]",1/18/2024,House - Energy and Commerce,Referred to the Subcommittee on Communications and Technology.,1
H.R. 7042,https://www.congress.gov/bill/118th-congress/house-bill/7042,RIFLE Act of 2024,"Mann, Tracey [Rep.-R-KS-1]",1/18/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,30
H.R. 7041,https://www.congress.gov/bill/118th-congress/house-bill/7041,Tax Excessive CEO Pay Act of 2024,"Lee, Barbara [Rep.-D-CA-12]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,15
H.R. 7040,https://www.congress.gov/bill/118th-congress/house-bill/7040,Undetectable Firearms Reauthorization Act,"Lawler, Michael [Rep.-R-NY-17]",1/18/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,3
H.R. 7039,https://www.congress.gov/bill/118th-congress/house-bill/7039,Stronger Communities through Better Transit Act,"Johnson, Henry C. ""Hank,"" Jr. [Rep.-D-GA-4]",1/18/2024,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,119
H.R. 7038,https://www.congress.gov/bill/118th-congress/house-bill/7038,Guaranteed Income for Foster Youth Act,"Garcia, Robert [Rep.-D-CA-42]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,4
H.R. 7037,https://www.congress.gov/bill/118th-congress/house-bill/7037,SPEAR Act,"Gallagher, Mike [Rep.-R-WI-8]",1/18/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,5
H.R. 7036,https://www.congress.gov/bill/118th-congress/house-bill/7036,Strengthening Cybersecurity for the Financial Sector Act of 2024,"Foster, Bill [Rep.-D-IL-11]",1/18/2024,House - Financial Services,Referred to the House Committee on Financial Services.,0
H.R. 7035,https://www.congress.gov/bill/118th-congress/house-bill/7035,Death Tax Repeal Act,"Feenstra, Randy [Rep.-R-IA-4]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,168
H.R. 7034,https://www.congress.gov/bill/118th-congress/house-bill/7034,Mauritania TPS Act of 2024,"Carey, Mike [Rep.-R-OH-15]",1/18/2024,"House - Judiciary, Budget","Referred to the Committee on the Judiciary, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 7033,https://www.congress.gov/bill/118th-congress/house-bill/7033,WEST Act of 2024,"Calvert, Ken [Rep.-R-CA-41]",1/18/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,0
H.R. 7032,https://www.congress.gov/bill/118th-congress/house-bill/7032,Congressional Budget Office Data Sharing Act,"Boyle, Brendan F. [Rep.-D-PA-2]",1/18/2024,House - Budget,Received in the Senate.,34
H.R. 7031,https://www.congress.gov/bill/118th-congress/house-bill/7031,Ultrasound Informed Consent Act,"Biggs, Andy [Rep.-R-AZ-5]",1/18/2024,House - Energy and Commerce,Referred to the Subcommittee on Health.,10
