Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8475,https://www.congress.gov/bill/118th-congress/house-bill/8475,"To direct the Secretary of Defense to submit to Congress a report on the correlation between service in the Armed Forces conducting explosive ordnance disposal and post-traumatic stress disorder, traumatic brain injury, and suicide.","Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",5/21/2024,House - Armed Services,Referred to the House Committee on Armed Services.,0
H.R. 8474,https://www.congress.gov/bill/118th-congress/house-bill/8474,To make certain improvements to incentive pay for explosive ordnance disposal duty.,"Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",5/21/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
H.R. 8473,https://www.congress.gov/bill/118th-congress/house-bill/8473,"To direct the Secretary of the Army to submit to Congress a report in the event that the assessment of the Army force structure using the process known as ""Total Army Analysis"" does not include certain missions.","Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",5/21/2024,House - Armed Services,Referred to the House Committee on Armed Services.,1
H.R. 8472,https://www.congress.gov/bill/118th-congress/house-bill/8472,"To amend the Consolidated Farm and Rural Development Act to support the expansion of freight rail infrastructure to support the transport of agricultural inputs and products to farms, and for other purposes.","Courtney, Joe [Rep.-D-CT-2]",5/21/2024,House - Agriculture,Referred to the House Committee on Agriculture.,2
H.R. 8471,https://www.congress.gov/bill/118th-congress/house-bill/8471,"To support United States investment opportunities, strengthen bilateral collaboration in addressing criminal elements operating in the Brazilian Amazon, and for other purposes.","Connolly, Gerald E. [Rep.-D-VA-11]",5/21/2024,"House - Foreign Affairs, Financial Services","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8470,https://www.congress.gov/bill/118th-congress/house-bill/8470,"To authorize the Secretary of Health and Human Services to make awards to increase or improve access to comprehensive mental and behavioral health services for individuals exposed to violent encounters involving law enforcement personnel, and for other purposes.","Bush, Cori [Rep.-D-MO-1]",5/21/2024,"House - Energy and Commerce, Education and the Workforce, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and the Workforce, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8
H.R. 8469,https://www.congress.gov/bill/118th-congress/house-bill/8469,"To establish in the Cybersecurity and Infrastructure Security Agency of the Department of Homeland Security a program to promote the cybersecurity field to disadvantaged communities, including older individuals, racial and ethnic minorities, people with disabilities, geographically diverse communities, socioeconomically diverse communities, women, individuals from nontraditional educational paths, individuals who are veterans, and individuals who were formerly incarcerated, and for other purposes.","Brown, Shontel M. [Rep.-D-OH-11]",5/21/2024,House - Homeland Security,Referred to the House Committee on Homeland Security.,33
H.R. 8468,https://www.congress.gov/bill/118th-congress/house-bill/8468,"To amend the Higher Education Act of 1965 to terminate the eligibility of certain individuals for student loan forgiveness, and for other purposes.","Yakym, Rudy [Rep.-R-IN-2]",5/21/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,0
H.R. 8467,https://www.congress.gov/bill/118th-congress/house-bill/8467,"Farm, Food, and National Security Act of 2024","Thompson, Glenn [Rep.-R-PA-15]",5/21/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8466,https://www.congress.gov/bill/118th-congress/house-bill/8466,"To amend division N of the Consolidated Appropriations Act, 2021 to improve the Affordable Connectivity Program, and for other purposes.","Williams, Brandon [Rep.-R-NY-22]",5/17/2024,"House - Energy and Commerce, Financial Services, Transportation and Infrastructure, Science, Space, and Technology, Natural Resources, Oversight and Accountability, Foreign Affairs, Judiciary","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Financial Services, Transportation and Infrastructure, Science, Space, and Technology, Natural Resources, Oversight and Accountability, Foreign Affairs, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3
H.R. 8465,https://www.congress.gov/bill/118th-congress/house-bill/8465,To amend title XXVII of the Public Health Service Act to increase health insurance access for individuals placing their newborns for adoption.,"Van Duyne, Beth [Rep.-R-TX-24]",5/17/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,0
H.R. 8464,https://www.congress.gov/bill/118th-congress/house-bill/8464,"To require the Board of Governors of the Federal Reserve System, the Board of Directors of the Federal Deposit Insurance Corporation, the Comptroller of the Currency, and the National Credit Union Administration Board to jointly submit a report on trends in the use of blockchain technology to tokenize traditional assets, and for other purposes.","Timmons, William R. [Rep.-R-SC-4]",5/17/2024,House - Financial Services,Referred to the House Committee on Financial Services.,1
H.R. 8463,https://www.congress.gov/bill/118th-congress/house-bill/8463,"To prohibit and establish penalties for the use of the identity of another, without authorization, to make available certain information, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",5/17/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,0
H.R. 8462,https://www.congress.gov/bill/118th-congress/house-bill/8462,To amend the Help America Vote Act of 2002 to support State and local governments making a transition to ranked choice voting.,"Phillips, Dean [Rep.-D-MN-3]",5/17/2024,House - House Administration,Referred to the House Committee on House Administration.,3
H.R. 8461,https://www.congress.gov/bill/118th-congress/house-bill/8461,"To amend the Higher Education Act of 1965 to direct the Secretary of Education to carry out a program under which an institution of higher education may elect to cosign Federal student loans made to students attending the institution, and for other purposes.","Perry, Scott [Rep.-R-PA-10]",5/17/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,0
