bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1741413,1356981,2023-11-06,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 599",384,1,0,47,432
1743524,1304603,2023-04-18,Senate,"On the Amendment S.Amdt. 80 to S. 870 (No short title on file) RC# 87",49,50,0,1,100
1743524,1307111,2023-04-20,Senate,"On the Amendment S.Amdt. 85 to S. 870 (No short title on file) RC# 92",46,51,0,3,100
1743524,1307112,2023-04-20,Senate,"On the Amendment S.Amdt. 83 to S. 870 (No short title on file) RC# 93",42,56,0,2,100
1743524,1307113,2023-04-20,Senate,"On Passage of the Bill S. 870 RC# 94",95,2,0,3,100
1743524,1362303,2023-03-29,Senate,"On Cloture on the Motion to Proceed S. 870 RC# 78",96,0,0,4,100
1743524,1363307,2023-04-19,Senate,"On the Amendment S.Amdt. 81 to S. 870 (No short title on file) RC# 1",47,49,0,4,100
1743524,1363308,2023-04-19,Senate,"On the Amendment S.Amdt. 72 to S. 870 (No short title on file) RC# 8",45,54,0,1,100
1743524,1363309,2023-04-19,Senate,"On the Amendment S.Amdt. 79 to S. 870 (No short title on file) RC# 88",45,54,0,1,100
1743524,1441502,2024-05-08,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 194",393,13,1,23,430
1743912,1343947,2023-06-13,House,"On Agreeing to the Amendment RC# 254",222,210,0,7,439
1743912,1343948,2023-06-13,House,"On Passage RC# 255",248,180,0,5,433
1743932,1284868,2023-03-24,House,"On Motion to Suspend the Rules and Agree RC# 162",405,0,0,30,435
1743936,1344418,2023-06-14,House,"On Agreeing to the Amendment RC# 266",207,224,0,8,439
1743936,1344419,2023-06-14,House,"On Agreeing to the Amendment RC# 267",209,225,0,5,439
1743936,1344420,2023-06-14,House,"On Passage RC# 268",249,181,0,3,433
1743955,1343907,2023-06-13,House,"On Passage RC# 252",219,210,0,5,434
1743955,1347080,2023-06-22,Senate,"On the Joint Resolution H.J.Res. 44 RC# 171",49,50,0,1,100
1745344,1332950,2023-05-24,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 235",409,9,0,17,435
1745364,1303493,2023-04-17,House,"On Motion to Suspend the Rules and Agree, as Amended RC# 184",410,0,0,24,434
1746062,1283726,2023-03-23,House,"On Ordering the Previous Question RC# 146",219,204,0,12,435
1746062,1283727,2023-03-23,House,"On Agreeing to the Resolution RC# 147",218,205,0,12,435
1746098,1321879,2023-05-09,House,"On Motion to Suspend the Rules and Pass RC# 204",356,50,0,28,434
1746107,1378448,2024-02-06,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 36",427,2,0,2,431
1746991,1437159,2024-04-30,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 161",406,6,0,16,428
1746999,1407592,2024-03-11,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 79",375,20,0,37,432
1747690,1443707,2024-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 209",378,34,0,18,430
1748493,1332952,2023-05-24,House,"On Passage RC# 234",218,203,0,14,435
1748493,1337371,2023-06-01,Senate,"On the Joint Resolution H.J.Res. 45 RC# 135",52,46,0,2,100
1748493,1346470,2023-06-21,House,"Passage, Objections of the President To The Contrary Notwithstanding RC# 277",221,206,0,7,434
1748493,1362614,2023-05-31,Senate,"On the Motion (Motion to Proceed to H.J. Res. 45) RC# 134",51,46,0,3,100
1749188,1414053,2024-03-21,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 98",393,24,0,14,431
1749199,1313963,2023-04-27,House,"On Agreeing to the Resolution RC# 201",102,321,0,11,434
1749204,1287220,2023-03-28,House,"On Ordering the Previous Question RC# 165",218,203,0,13,434
1749204,1287221,2023-03-28,House,"On Agreeing to the Resolution RC# 166",218,203,0,13,434
1750566,1362839,2023-12-14,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 724",407,9,0,18,434
1751362,1324057,2023-05-11,Senate,"On the Joint Resolution S.J.Res. 23 RC# 122",51,49,0,0,100
1751365,1324069,2023-05-11,Senate,"On the Joint Resolution S.J.Res. 24 RC# 123",51,49,0,0,100
1751365,1350963,2023-07-27,House,"On Passage RC# 382",220,209,0,4,433
1751365,1355343,2023-09-28,Senate,"On Overriding the Veto S.J.Res. 24 RC# 243",47,45,0,8,100
1754056,1327223,2023-05-17,House,"On Agreeing to the Amendment RC# 223",303,126,0,11,440
1754056,1327224,2023-05-17,House,"On Agreeing to the Amendment RC# 224",209,225,0,7,441
1754056,1327225,2023-05-17,House,"On Passage RC# 225",255,175,0,5,435
1754486,1426032,2024-04-11,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 111",332,82,0,16,430
1755613,1429248,2024-04-16,House,"On Motion to Suspend the Rules and Agree RC# 133",411,14,0,6,431
1756197,1304607,2023-04-18,House,"On Ordering the Previous Question RC# 185",218,203,0,13,434
1756197,1304608,2023-04-18,House,"On Agreeing to the Resolution RC# 186",217,202,0,15,434
1758028,1310698,2023-04-25,House,"On Motion to Suspend the Rules and Agree RC# 194",401,19,0,15,435
1758039,1386501,2024-02-15,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 50",414,6,0,10,430
1758040,1336252,2023-05-30,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 238",367,8,0,60,435
1758051,1340314,2023-06-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 245",384,13,0,36,433
1758613,1405976,2024-03-07,House,"On Agreeing to the Amendment: Huizenga of Michigan Part B Amendment No. 2 RC# 6",269,153,0,15,437
1758613,1405977,2024-03-07,House,"On Agreeing to the Amendment: Lawler of New York Part B Amendment No. 1 RC# 68",278,146,0,13,437
1758613,1405978,2024-03-07,House,"On Agreeing to the Amendment: Lucas of Oklahoma Part B Amendment No. 3 RC# 70",301,125,0,11,437
1758613,1405979,2024-03-07,House,"On Agreeing to the Amendment: Wagner of Missouri Part B Amendment No. 4 RC# 71",270,154,0,13,437
1758613,1405980,2024-03-07,House,"On Agreeing to the Amendment: Sherman of California Part B Amendment No. 5 RC# 72",203,223,0,11,437
1758613,1406596,2024-03-08,House,"On Agreeing to the Amendment: Houlahan of Pennsylvania Part B Amendment No. 6 RC# 73",200,203,0,34,437
1758613,1406597,2024-03-08,House,"On Agreeing to the Amendment: Tlaib of Michigan Part B Amendment No. 7 RC# 74",204,212,0,21,437
1758613,1406598,2024-03-08,House,"On Agreeing to the Amendment: Lynch of Massachusetts Part B Amendment No. 8 RC# 75",208,211,0,18,437
1758613,1406599,2024-03-08,House,"On Agreeing to the Amendment: Waters of California Part B Amendment No. 9 RC# 76",206,217,0,15,438
1758613,1406600,2024-03-08,House,"On Motion to Recommit RC# 77",205,213,0,14,432
1758613,1406601,2024-03-08,House,"On Passage RC# 78",212,205,0,15,432
1758620,1336178,2023-05-30,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 239",347,30,0,58,435
1758623,1336699,2023-05-31,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 244",383,18,0,34,435
1758625,1335994,2023-05-30,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 240",309,67,0,58,434
1759097,1312276,2023-04-26,House,"On Motion to Recommit RC# 198",211,221,0,3,435
1759097,1312277,2023-04-26,House,"On Passage RC# 199",217,215,0,3,435
1759115,1340310,2023-06-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 246",390,10,0,33,433
1759636,1312256,2023-04-26,House,"On Ordering the Previous Question RC# 195",218,210,0,6,434
1759636,1312257,2023-04-26,House,"On Agreeing to the Resolution RC# 196",219,210,0,5,434
1759950,1438027,2024-05-01,House,"On Motion to Recommit RC# 175",210,204,0,15,429
1759950,1441536,2024-05-08,House,"On Motion to Recommit RC# 190",203,208,0,19,430
1759950,1441537,2024-05-08,House,"On Passage RC# 191",216,195,0,19,430
1760186,1430236,2024-04-16,House,"On Motion to Suspend the Rules and Pass RC# 132",407,16,0,8,431
1760974,1324059,2023-05-11,House,"On Motion to Recommit RC# 208",211,221,0,3,435
1760974,1324060,2023-05-11,House,"On Passage RC# 209",219,213,0,3,435
1761751,1329272,2023-05-18,House,"On Agreeing to the Amendment RC# 226",268,156,0,10,434
1761751,1329273,2023-05-18,House,"On Agreeing to the Resolution RC# 227",301,119,3,11,434
1761754,1325132,2023-05-15,House,"On Motion to Suspend the Rules and Agree, as Amended RC# 214",413,2,0,20,435
1761761,1343999,2023-06-13,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 251",413,13,0,7,433
1761769,1325485,2023-05-15,House,"On Motion to Suspend the Rules and Pass RC# 213",412,0,0,23,435
1761796,1327232,2023-05-17,House,"On Agreeing to the Amendment RC# 218",216,219,0,5,440
1761796,1327233,2023-05-17,House,"On Agreeing to the Amendment RC# 219",248,184,0,8,440
1761796,1327234,2023-05-17,House,"On Agreeing to the Amendment RC# 220",232,202,0,6,440
1761796,1327235,2023-05-17,House,"On Agreeing to the Amendment RC# 221",218,217,0,6,441
1761796,1327236,2023-05-17,House,"On Passage RC# 222",232,198,0,4,434
1762919,1336792,2023-05-31,House,"On Motion to Suspend the Rules and Agree, as Amended RC# 242",429,0,0,6,435
1762922,1344041,2023-06-13,House,"On Motion to Suspend the Rules and Agree, as Amended RC# 256",422,0,0,11,433
1762957,1354940,2023-09-12,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 383",1,0,0,0,1
1763425,1437310,2024-04-30,House,"On Motion to Recommit RC# 170",205,210,0,14,429
1763425,1437311,2024-04-30,House,"On Passage RC# 171",212,203,0,14,429
1763446,1323104,2023-05-10,House,"On Ordering the Previous Question RC# 205",215,211,0,9,435
1763446,1323105,2023-05-10,House,"On Agreeing to the Amendment RC# 206",236,190,0,9,435
1763446,1323106,2023-05-10,House,"On Agreeing to the Resolution RC# 207",215,209,0,11,435
1763995,1425553,2024-04-10,House,"On Motion to Suspend the Rules and Pass RC# 109",385,31,0,15,431
1764043,1362392,2023-12-11,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 707",394,0,0,39,433
1764087,1385393,2024-02-14,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 49",389,32,0,10,431
1764751,1326280,2023-05-16,House,"On Ordering the Previous Question RC# 215",220,209,0,5,434
1764751,1326281,2023-05-16,House,"On Agreeing to the Resolution RC# 216",222,203,0,9,434
1764752,1354946,2023-09-13,House,"On Motion to Suspend the Rules and Pass RC# 387",0,0,0,1,1
1764759,1441125,2024-05-07,House,"On Motion to Suspend the Rules and Pass RC# 179",371,28,3,27,429
1765351,1403795,2024-03-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 60",384,4,0,44,432
1766014,1437320,2024-04-30,House,"On Motion to Recommit RC# 164",204,210,0,15,429
1766014,1437321,2024-04-30,House,"On Passage RC# 165",212,202,0,15,429
1767443,1332428,2023-05-23,House,"On Ordering the Previous Question RC# 230",219,208,0,8,435
1767443,1332429,2023-05-23,House,"On Agreeing to the Resolution RC# 231",217,204,0,14,435
1767456,1347373,2023-06-23,House,"On Agreeing to the Amendment RC# 287",204,216,0,19,439
1767456,1347374,2023-06-23,House,"On Motion to Recommit RC# 288",197,214,0,22,433
1767456,1347375,2023-06-23,House,"On Passage RC# 289",230,189,0,14,433
1767875,1431750,2024-04-20,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 143",215,199,0,17,431
1768756,1437166,2024-04-30,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 159",403,10,0,15,428
1769381,1336606,2023-05-31,House,"On Agreeing to the Resolution RC# 241",241,187,0,7,435
1769577,1356931,2023-11-03,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 598",342,69,0,22,433
1769822,1347163,2023-06-22,House,"On Agreeing to the Resolution RC# 286",223,201,0,10,434
1770204,1405106,2024-03-06,House,"On Motion to Suspend the Rules and Pass RC# 65",413,7,0,12,432
1770224,1340388,2023-06-06,House,"On Ordering the Previous Question RC# 247",215,203,0,16,434
1770224,1340389,2023-06-06,House,"On Agreeing to the Resolution RC# 248",206,220,0,8,434
1770233,1346426,2023-06-21,House,"On Agreeing to the Amendment RC# 278",211,220,0,9,440
1770233,1346427,2023-06-21,House,"On Agreeing to the Amendment RC# 279",281,151,0,7,439
1770233,1346428,2023-06-21,House,"On Agreeing to the Amendment RC# 280",228,206,0,6,440
1770233,1346429,2023-06-21,House,"On Motion to Recommit RC# 281",209,220,0,5,434
1770233,1346430,2023-06-21,House,"On Passage RC# 282",220,209,0,5,434
1770513,1361979,2023-12-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 695",408,10,0,15,433
1770533,1403794,2024-03-05,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 61",382,12,0,38,432
1770538,1405985,2024-03-07,House,"On Motion to Suspend the Rules and Pass RC# 67",391,32,0,9,432
1771171,1355356,2023-09-18,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 392",410,0,0,22,432
1771174,1350868,2023-07-19,House,"On Agreeing to the Amendment RC# 341",243,191,0,6,440
1771174,1350869,2023-07-19,House,"On Agreeing to the Amendment RC# 342",203,231,0,6,440
1771174,1350870,2023-07-19,House,"On Agreeing to the Amendment RC# 343",392,41,0,7,440
1771174,1350871,2023-07-19,House,"On Agreeing to the Amendment RC# 344",193,236,0,11,440
1771174,1350872,2023-07-19,House,"On Agreeing to the Amendment RC# 345",177,258,0,5,440
1771174,1350873,2023-07-19,House,"On Agreeing to the Amendment RC# 346",141,294,0,5,440
1771174,1350874,2023-07-19,House,"On Agreeing to the Amendment RC# 347",220,215,0,5,440
1771174,1350875,2023-07-19,House,"On Agreeing to the Amendment RC# 348",214,219,0,7,440
1771174,1350876,2023-07-19,House,"On Agreeing to the Amendment RC# 349",211,224,0,5,440
1771174,1350877,2023-07-19,House,"On Agreeing to the Amendment RC# 350",240,195,0,5,440
1771174,1350878,2023-07-19,House,"On Agreeing to the Amendment RC# 351",49,386,0,5,440
1771174,1350879,2023-07-19,House,"On Agreeing to the Amendment RC# 352",216,219,0,5,440
1771174,1350880,2023-07-19,House,"On Agreeing to the Amendment RC# 353",181,254,0,5,440
1771174,1350881,2023-07-19,House,"On Agreeing to the Amendment RC# 354",229,205,0,6,440
1771174,1350882,2023-07-19,House,"On Agreeing to the Amendment RC# 355",191,244,0,5,440
1771174,1350883,2023-07-19,House,"On Agreeing to the Amendment RC# 356",206,227,0,7,440
1771174,1350884,2023-07-19,House,"On Agreeing to the Amendment RC# 357",205,229,0,6,440
1771174,1350885,2023-07-19,House,"On Agreeing to the Amendment RC# 358",127,308,0,5,440
1771174,1350886,2023-07-19,House,"On Agreeing to the Amendment RC# 359",52,381,0,7,440
1771174,1350887,2023-07-19,House,"On Agreeing to the Amendment RC# 360",45,387,0,8,440
1771174,1350899,2023-07-20,House,"On Agreeing to the Amendment RC# 361",348,57,0,34,439
1771174,1350900,2023-07-20,House,"On Agreeing to the Amendment RC# 362",64,329,0,46,439
1771174,1350901,2023-07-20,House,"On Agreeing to the Amendment RC# 363",195,226,0,18,439
1771174,1350902,2023-07-20,House,"On Passage RC# 364",351,69,0,13,433
1771174,1362329,2023-09-26,Senate,"On the Cloture Motion H.R. 3935 RC# 240",77,19,0,4,100
1771174,1362330,2023-09-28,Senate,"On the Motion to Proceed H.R. 3935 RC# 241",76,22,0,2,100
1771174,1437908,2024-05-01,Senate,"On Cloture on the Motion to Proceed H.R. 3935 RC# 157",89,10,0,1,100
1771174,1438886,2024-05-02,Senate,"On the Motion to Proceed H.R. 3935 RC# 158",81,10,0,9,100
1771174,1441549,2024-05-08,Senate,"On the Motion to Table H.R. 3935 RC# 160",12,85,0,3,100
1771174,1442062,2024-05-09,Senate,"On the Cloture Motion H.R. 3935 RC# 161",84,13,0,3,100
1771174,1442063,2024-05-09,Senate,"On Passage of the Bill H.R. 3935 RC# 162",88,4,0,8,100
1771196,1354947,2023-09-12,House,"On Motion to Suspend the Rules and Agree RC# 385",1,0,0,0,1
1771199,1350893,2023-07-19,House,"On Motion to Recommit RC# 339",200,212,0,22,434
1771199,1350894,2023-07-19,House,"On Passage RC# 340",222,201,0,11,434
1771207,1344314,2023-06-14,House,"On Motion to Table RC# 269",225,196,7,5,433
1771226,1443674,2024-05-15,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 212",388,24,0,18,430
1771314,1343954,2023-06-13,House,"On Ordering the Previous Question RC# 249",216,209,0,8,433
1771314,1343955,2023-06-13,House,"On Agreeing to the Resolution RC# 250",218,209,0,6,433
1771319,1350843,2023-07-18,House,"On Passage RC# 334",30,388,0,15,433
1771321,1350852,2023-07-18,House,"On Passage RC# 333",27,381,0,25,433
1771373,1437375,2024-04-30,House,"On Motion to Suspend the Rules and Pass RC# 160",413,0,0,15,428
1771497,1356296,2023-10-18,Senate,"On the Joint Resolution S.J.Res. 32 RC# 260",53,44,0,3,100
1771497,1358060,2023-12-01,House,"On Passage RC# 690",221,202,1,10,434
1771497,1364014,2024-01-10,Senate,"On Overriding the Veto S.J.Res. 32 RC# 5",54,45,0,1,100
1771798,1350849,2023-07-18,House,"On Passage RC# 336",26,394,0,13,433
1772165,1441514,2024-05-08,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 195",358,41,0,30,429
1772187,1350844,2023-07-18,House,"On Passage RC# 335",27,393,0,13,433
1772269,1346458,2023-06-21,House,"On Motion to Table RC# 276",208,218,0,8,434
1772269,1346459,2023-06-21,House,"On Agreeing to the Resolution RC# 283",213,209,6,6,434
1772425,1424148,2024-04-09,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 106",406,0,0,24,430
1772467,1346403,2023-06-21,House,"On Ordering the Previous Question RC# 274",215,207,0,11,433
1772467,1346404,2023-06-21,House,"On Agreeing to the Resolution RC# 275",215,211,0,8,434
1772640,1347084,2023-06-22,House,"On Ordering the Previous Question RC# 284",214,206,0,14,434
1772640,1347085,2023-06-22,House,"On Agreeing to the Resolution RC# 285",219,208,0,7,434
1772808,1443783,2024-05-15,House,"On Motion to Suspend the Rules and Pass RC# 206",376,33,0,20,429
1773268,1355370,2023-09-27,House,"On Agreeing to the Amendment RC# 408",175,254,0,10,439
