bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1650664,2639977,text,235117,application/pdf,Introduced,https://legiscan.com/US/text/HB61/id/2639977,https://www.congress.gov/118/bills/hr61/BILLS-118hr61ih.pdf
1650991,2641339,text,242489,application/pdf,Introduced,https://legiscan.com/US/text/HB62/id/2641339,https://www.congress.gov/118/bills/hr62/BILLS-118hr62ih.pdf
1651095,2639983,text,230795,application/pdf,Introduced,https://legiscan.com/US/text/HB63/id/2639983,https://www.congress.gov/118/bills/hr63/BILLS-118hr63ih.pdf
1651047,2639764,text,238053,application/pdf,Introduced,https://legiscan.com/US/text/HB64/id/2639764,https://www.congress.gov/118/bills/hr64/BILLS-118hr64ih.pdf
1651086,2641340,text,237062,application/pdf,Introduced,https://legiscan.com/US/text/HB65/id/2641340,https://www.congress.gov/118/bills/hr65/BILLS-118hr65ih.pdf
1650522,2641338,text,253565,application/pdf,Introduced,https://legiscan.com/US/text/HB66/id/2641338,https://www.congress.gov/118/bills/hr66/BILLS-118hr66ih.pdf
1650573,2641397,text,230344,application/pdf,Introduced,https://legiscan.com/US/text/HB67/id/2641397,https://www.congress.gov/118/bills/hr67/BILLS-118hr67ih.pdf
1650888,2641341,text,245439,application/pdf,Introduced,https://legiscan.com/US/text/HB68/id/2641341,https://www.congress.gov/118/bills/hr68/BILLS-118hr68ih.pdf
1650683,2641343,text,229851,application/pdf,Introduced,https://legiscan.com/US/text/HB69/id/2641343,https://www.congress.gov/118/bills/hr69/BILLS-118hr69ih.pdf
1650817,2641337,text,238790,application/pdf,Introduced,https://legiscan.com/US/text/HB70/id/2641337,https://www.congress.gov/118/bills/hr70/BILLS-118hr70ih.pdf
1650987,2641374,text,229098,application/pdf,Introduced,https://legiscan.com/US/text/HB71/id/2641374,https://www.congress.gov/118/bills/hr71/BILLS-118hr71ih.pdf
1650524,2641372,text,228860,application/pdf,Introduced,https://legiscan.com/US/text/HB72/id/2641372,https://www.congress.gov/118/bills/hr72/BILLS-118hr72ih.pdf
1650834,2641382,text,228763,application/pdf,Introduced,https://legiscan.com/US/text/HB73/id/2641382,https://www.congress.gov/118/bills/hr73/BILLS-118hr73ih.pdf
1650479,2641353,text,229063,application/pdf,Introduced,https://legiscan.com/US/text/HB74/id/2641353,https://www.congress.gov/118/bills/hr74/BILLS-118hr74ih.pdf
1650961,2641345,text,230213,application/pdf,Introduced,https://legiscan.com/US/text/HB75/id/2641345,https://www.congress.gov/118/bills/hr75/BILLS-118hr75ih.pdf
1651171,2641357,text,229156,application/pdf,Introduced,https://legiscan.com/US/text/HB76/id/2641357,https://www.congress.gov/118/bills/hr76/BILLS-118hr76ih.pdf
1651179,2641366,text,277189,application/pdf,Introduced,https://legiscan.com/US/text/HB77/id/2641366,https://www.congress.gov/118/bills/hr77/BILLS-118hr77ih.pdf
1651045,2641364,text,229008,application/pdf,Introduced,https://legiscan.com/US/text/HB78/id/2641364,https://www.congress.gov/118/bills/hr78/BILLS-118hr78ih.pdf
1650786,2641367,text,229303,application/pdf,Introduced,https://legiscan.com/US/text/HB79/id/2641367,https://www.congress.gov/118/bills/hr79/BILLS-118hr79ih.pdf
1650639,2641371,text,230261,application/pdf,Introduced,https://legiscan.com/US/text/HB80/id/2641371,https://www.congress.gov/118/bills/hr80/BILLS-118hr80ih.pdf
